,immune,stromal,epithelial,DiseaseState
A014-C-013,0.06363363062431106,0.01463072452149514,0.9217356448541938,Polyp
A002-C-021,0.11059190031152648,0.036344755970924195,0.8530633437175493,Polyp
A001-C-207,0.19533412415974694,0.023527085804665875,0.7811387900355872,Polyp
B004-A-004,0.24452638856879466,0.34754551740032263,0.4079280940308827,Normal
F072B,0.12321903867230312,0.01565680288085173,0.8611241584468452,Polyp
A014-C-052,0.3470394736842105,0.033717105263157895,0.6192434210526315,Unaffected
B001-A-302,0.03432814908224744,0.039932744850777635,0.925739106066975,Normal
A014-C-114,0.43228962818003913,0.049315068493150684,0.5183953033268102,Unaffected
A001-C-014,0.18862161130202368,0.027491408934707903,0.7838869797632684,Polyp
A002-C-202,0.09011857707509881,0.013241106719367589,0.8966403162055336,Polyp
A010-E-023,0.18236262913609821,0.07036981584069471,0.7472675550232071,Polyp
A018-E-020,0.11942325775781006,0.04430049106676418,0.8362762511754258,Polyp
A015-C-010,0.19934167215273205,0.053061224489795916,0.747597103357472,Unaffected
A014-C-111,0.4101342572542226,0.07131514364082575,0.5185505991049516,Unaffected
A015-C-206,0.11057979677226538,0.05469216975493126,0.8347280334728033,Unaffected
A002-C-201,0.045036516094130376,0.013118744928320259,0.9418447389775494,Polyp
A015-C-002,0.12556909972095756,0.04464679101189602,0.8297841092671464,Polyp
A002-C-204,0.08769716088328075,0.024185068349106203,0.888117770767613,Polyp
B001-A-406,0.08684794672586016,0.17175360710321866,0.7413984461709212,Normal
A014-C-008,0.1348357524828113,0.014514896867838044,0.8506493506493507,Polyp
A001-C-203,0.1751135331516803,0.03905540417801998,0.7858310626702997,Polyp
A014-C-054,0.31718510963793983,0.05711371749107598,0.6257011728709841,Unaffected
A015-C-001,0.574468085106383,0.3125,0.11303191489361702,Adenocarcinoma
A001-C-124,0.10833840535605599,0.06299452221545952,0.8286670724284845,Unaffected
F034,0.13926408942710758,0.025151374010246856,0.8355845365626455,Polyp
A018-E-013,0.10962869729389553,0.044808055380742604,0.8455632473253618,Polyp
A002-C-205,0.10929829627490616,0.021368755414380596,0.8693329483107133,Polyp
A015-C-208,0.16957403651115618,0.03488843813387424,0.7955375253549696,Unaffected
CRC-1-8810,0.11275914377212203,0.052250126411596154,0.8349907298162819,Adenocarcinoma
A002-C-010,0.03290218270008084,0.010751818916734034,0.9563459983831851,Polyp
A002-C-025,0.07415437987857762,0.037033824804856896,0.8888117953165655,Unaffected
A015-C-008,0.10942071386775892,0.014043300175541252,0.8765359859566998,Unaffected
CRC-2-15564,0.151618398637138,0.0386581050976281,0.8097234962652339,Adenocarcinoma
B001-A-301,0.07237407598418429,0.049681966649475676,0.87794395736634,Normal
A015-C-203,0.18829869130100077,0.03602771362586605,0.7756735950731332,Polyp
A001-C-108,0.1889994148624927,0.03481568168519602,0.7761849034523113,Polyp
A015-C-106,0.17929967655744622,0.05414147096048376,0.76655885248207,Polyp
A014-C-002,0.09476290516206483,0.013805522208883553,0.8914315726290516,Polyp
A014-C-001,0.10320562939796717,0.018764659890539485,0.8780297107114934,Polyp
A015-C-005,0.2715435259692758,0.0514996342355523,0.676956839795172,Polyp
B001-A-401,0.08532035685320356,0.14841849148418493,0.7662611516626116,Normal
A015-C-202,0.2533353320341778,0.07285264578024284,0.6738120221855793,Polyp
A002-C-212,0.46890111722527933,0.06286476571619143,0.46823411705852924,Unaffected
A015-C-104,0.2513089005235602,0.03807710613993336,0.7106139933365064,Polyp
A015-C-204,0.19374550682961897,0.0301941049604601,0.776060388209921,Polyp
A010-E-018,0.14849315068493152,0.05552511415525114,0.7959817351598174,Polyp
A001-C-119,0.1847459911063199,0.043120873197682257,0.7721331356959978,Polyp
A008-E-008,0.17866959868059373,0.065695437053326,0.7556349642660802,Polyp
A014-C-043,0.08180645161290323,0.01793548387096774,0.900258064516129,Polyp
A022-E-002,0.24462924462924462,0.02356202356202356,0.7318087318087318,Polyp
A014-C-108,0.32889382167961523,0.04550499445061043,0.6256011838697744,Polyp
CRC-3-11773,0.11675933280381255,0.0937251787132645,0.789515488482923,Adenocarcinoma
B004-A-204,0.18974960876369326,0.08098591549295775,0.729264475743349,Normal
A014-C-201,0.33676975945017185,0.0759831996945399,0.5872470408552882,Unaffected
A001-C-123,0.05636743215031315,0.011830201809324982,0.9318023660403618,Unaffected
A001-C-023,0.19722222222222222,0.041666666666666664,0.7611111111111111,Unaffected
A001-C-002,0.07079371641174038,0.02108309218685407,0.9081231914014055,Polyp
A001-C-218,0.07521255722694571,0.01209941137998692,0.9126880313930673,Polyp
A002-C-203,0.05830335731414868,0.008243405275779377,0.9334532374100719,Polyp
B004-A-008,0.16516709511568123,0.5533419023136247,0.2814910025706941,Normal
A014-C-101,0.23214285714285715,0.02891156462585034,0.7389455782312925,Polyp
B001-A-501,0.07774538386783285,0.09685779073534176,0.8253968253968254,Normal
A002-C-016,0.051809070834041106,0.01494819092916596,0.9332427382367929,Polyp
A015-C-109,0.2497107597377555,0.053220208252988815,0.6970690320092557,Unaffected
A015-C-006,0.12448620082207869,0.029262086513994912,0.8462517126639264,Polyp
A001-C-007,0.4588424437299035,0.0707395498392283,0.4704180064308682,Adenocarcinoma
CRC-4-8456,0.21520213023480997,0.02299685306221254,0.7618010167029775,Adenocarcinoma
A002-C-114,0.046848172675987246,0.01226391954868776,0.9408879077753249,Polyp
A002-C-121,0.12901755185776156,0.053567358103487575,0.8174150900387509,Unaffected
A015-C-102,0.22438185905064129,0.046145709374586806,0.7294724315747719,Polyp
A008-E-015,0.14657142857142857,0.054,0.7994285714285714,Polyp
A002-C-024,0.1762218045112782,0.02631578947368421,0.7974624060150376,Unaffected
A001-C-202,0.1403118040089087,0.030438010393466965,0.8292501855976243,Polyp
F091,0.09876543209876543,0.037037037037037035,0.8641975308641975,Polyp
A002-C-106,0.05746990795374086,0.019117299976398393,0.9234127920698607,Polyp
A001-C-223,0.22707558859975216,0.052664188351920695,0.7202602230483272,Unaffected
F007,0.12797783933518006,0.01551246537396122,0.8565096952908587,Polyp
A014-C-040,0.1293823038397329,0.02448525319977741,0.8461324429604897,Polyp
A002-C-116,0.05175533840028954,0.012305465074194716,0.9359391965255157,Polyp
A001-C-104,0.23357468490211852,0.04934298739608474,0.7170823277017967,Polyp
